 wavelength (um)       Norm. Spec. Resp. Func.
          0.500     1.0393E-03
          0.504     7.0957E-04
          0.508     4.5848E-04
          0.512     2.2103E-04
          0.516    -8.5955E-05
          0.520     2.4083E-05
          0.524     3.8953E-04
          0.528    -1.0101E-04
          0.532    -1.8341E-04
          0.536     1.2253E-05
          0.540     4.0914E-05
          0.544    -5.4772E-05
          0.548     7.9079E-05
          0.552     1.1913E-05
          0.556     2.4091E-05
          0.560    -9.5182E-05
          0.564    -6.1597E-05
          0.568     3.2324E-05
          0.572     7.7587E-05
          0.576    -8.9913E-05
          0.580     1.7275E-05
          0.584     3.4780E-05
          0.588    -7.8921E-05
          0.592     2.6780E-05
          0.596    -2.8274E-05
          0.600    -2.1549E-04
          0.604    -5.1680E-05
          0.608    -1.2276E-04
          0.612     1.1519E-05
          0.616    -8.5631E-05
          0.620    -7.6068E-05
          0.624    -1.9416E-05
          0.628    -5.1845E-05
          0.632     7.8984E-05
          0.636    -6.4462E-05
          0.640     2.5472E-05
          0.644     1.1486E-04
          0.648    -3.9201E-05
          0.652    -3.1495E-05
          0.656     7.8622E-05
          0.660     4.8188E-05
          0.664    -5.4902E-05
          0.668     5.0185E-05
          0.672     4.2200E-05
          0.676    -3.6112E-05
          0.680     1.6583E-05
          0.684     7.0122E-05
          0.688     1.4322E-04
          0.692     6.6694E-04
          0.696     3.2779E-03
          0.700     1.1679E-02
          0.704     3.2890E-02
          0.708     7.4539E-02
          0.712     1.3897E-01
          0.716     2.0991E-01
          0.720     2.6933E-01
          0.724     3.3339E-01
          0.728     4.1089E-01
          0.732     4.8244E-01
          0.736     5.5028E-01
          0.740     6.2795E-01
          0.744     7.1133E-01
          0.748     7.7362E-01
          0.752     8.1764E-01
          0.756     8.5973E-01
          0.760     8.8698E-01
          0.764     8.9973E-01
          0.768     8.9878E-01
          0.772     8.9327E-01
          0.776     8.9840E-01
          0.780     9.1124E-01
          0.784     9.3233E-01
          0.788     9.5151E-01
          0.792     9.6412E-01
          0.796     9.6304E-01
          0.800     9.5901E-01
          0.804     9.6067E-01
          0.808     9.6780E-01
          0.812     9.8298E-01
          0.816     9.9458E-01
          0.820     1.0000E+00
          0.824     9.9944E-01
          0.828     9.9613E-01
          0.832     9.9118E-01
          0.836     9.8843E-01
          0.840     9.8889E-01
          0.844     9.8818E-01
          0.848     9.8467E-01
          0.852     9.7579E-01
          0.856     9.6787E-01
          0.860     9.6060E-01
          0.864     9.5017E-01
          0.868     9.4119E-01
          0.872     9.3772E-01
          0.876     9.3768E-01
          0.880     9.4023E-01
          0.884     9.4247E-01
          0.888     9.4099E-01
          0.892     9.3746E-01
          0.896     9.3362E-01
          0.900     9.2913E-01
          0.904     9.0603E-01
          0.908     8.7909E-01
          0.912     8.5893E-01
          0.916     8.4067E-01
          0.920     8.2493E-01
          0.924     8.0547E-01
          0.928     7.8357E-01
          0.932     7.6688E-01
          0.936     7.5353E-01
          0.940     7.3498E-01
          0.944     7.2247E-01
          0.948     7.0550E-01
          0.952     6.8815E-01
          0.956     6.7036E-01
          0.960     6.5461E-01
          0.964     6.4120E-01
          0.968     6.2882E-01
          0.972     6.1453E-01
          0.976     5.9226E-01
          0.980     5.6543E-01
          0.984     5.4173E-01
          0.988     5.2639E-01
          0.992     5.0289E-01
          0.996     3.4726E-01
          1.000     1.4166E-01
          1.004     5.0853E-02
          1.008     2.0190E-02
          1.012     9.5775E-03
          1.016     5.5828E-03
          1.020     3.7879E-03
          1.024     2.8575E-03
          1.028     2.3312E-03
          1.032     1.9306E-03
          1.036     1.6670E-03
          1.040     1.3975E-03
          1.044     1.2255E-03
          1.048     1.0115E-03
          1.052     8.5510E-04
          1.056     7.0344E-04
          1.060     5.8006E-04
          1.064     4.7066E-04
          1.068     3.6197E-04
          1.072     3.2067E-04
