 wavelength (um)       Norm. Spec. Resp. Func.
          1.490    -4.9110E-05
          1.491    -2.6689E-05
          1.492    -2.1626E-06
          1.493    -1.1320E-05
          1.494     7.9889E-06
          1.495    -1.0258E-05
          1.496    -5.2001E-06
          1.497    -1.2227E-05
          1.498    -3.3366E-05
          1.499    -6.1819E-06
          1.500    -3.3212E-05
          1.501    -1.4230E-05
          1.502     2.8940E-06
          1.503    -1.2608E-07
          1.504     7.1394E-05
          1.505     1.8924E-05
          1.506     5.8854E-05
          1.507     4.4843E-05
          1.508     7.8603E-05
          1.509     4.1695E-05
          1.510     5.8562E-05
          1.511     3.1573E-05
          1.512     3.2578E-05
          1.513    -2.7871E-05
          1.514    -8.9931E-06
          1.515     7.2071E-05
          1.516     3.4415E-05
          1.517    -3.4697E-05
          1.518    -3.2734E-05
          1.519     4.7941E-06
          1.520     5.7828E-06
          1.521     7.0756E-05
          1.522     3.0262E-05
          1.523     5.5782E-05
          1.524    -7.2479E-05
          1.525     4.0856E-05
          1.526     8.7855E-05
          1.527     1.8388E-05
          1.528     1.5445E-05
          1.529     1.0606E-05
          1.530     5.8074E-05
          1.531     7.7400E-05
          1.532     9.2914E-05
          1.533     6.6320E-06
          1.534    -3.4893E-05
          1.535     2.2972E-05
          1.536     7.7622E-05
          1.537     1.8132E-05
          1.538     3.5253E-05
          1.539     1.2799E-04
          1.540     8.8712E-05
          1.541     1.8553E-04
          1.542     1.2881E-04
          1.543     1.6635E-04
          1.544     1.3666E-04
          1.545     1.9363E-04
          1.546     2.9288E-04
          1.547     2.9770E-04
          1.548     4.9897E-04
          1.549     4.9387E-04
          1.550     6.4335E-04
          1.551     6.8462E-04
          1.552     8.2803E-04
          1.553     1.0244E-03
          1.554     1.3648E-03
          1.555     1.6950E-03
          1.556     2.2023E-03
          1.557     2.7045E-03
          1.558     3.4074E-03
          1.559     4.2195E-03
          1.560     5.3157E-03
          1.561     6.4005E-03
          1.562     8.2021E-03
          1.563     1.0321E-02
          1.564     1.2767E-02
          1.565     1.6633E-02
          1.566     2.0851E-02
          1.567     2.6332E-02
          1.568     3.4339E-02
          1.569     4.3575E-02
          1.570     5.6014E-02
          1.571     7.3945E-02
          1.572     9.5457E-02
          1.573     1.2653E-01
          1.574     1.6380E-01
          1.575     2.1315E-01
          1.576     2.8165E-01
          1.577     3.6331E-01
          1.578     4.7105E-01
          1.579     5.8750E-01
          1.580     7.1884E-01
          1.581     8.7185E-01
          1.582     9.1729E-01
          1.583     9.3458E-01
          1.584     9.5331E-01
          1.585     9.6422E-01
          1.586     9.7277E-01
          1.587     9.8156E-01
          1.588     9.7978E-01
          1.589     9.8488E-01
          1.590     9.7993E-01
          1.591     9.8099E-01
          1.592     9.8386E-01
          1.593     9.8156E-01
          1.594     9.8480E-01
          1.595     9.8078E-01
          1.596     9.8345E-01
          1.597     9.7973E-01
          1.598     9.8115E-01
          1.599     9.8452E-01
          1.600     9.8496E-01
          1.601     9.9021E-01
          1.602     9.8685E-01
          1.603     9.9042E-01
          1.604     9.8898E-01
          1.605     1.0000E+00
          1.606     9.9134E-01
          1.607     9.8522E-01
          1.608     9.8836E-01
          1.609     9.8391E-01
          1.610     9.8749E-01
          1.611     9.8254E-01
          1.612     9.8286E-01
          1.613     9.7943E-01
          1.614     9.7990E-01
          1.615     9.7874E-01
          1.616     9.7654E-01
          1.617     9.7698E-01
          1.618     9.7482E-01
          1.619     9.7732E-01
          1.620     9.7636E-01
          1.621     9.7907E-01
          1.622     9.7663E-01
          1.623     9.8005E-01
          1.624     9.7805E-01
          1.625     9.7928E-01
          1.626     9.7614E-01
          1.627     9.6716E-01
          1.628     9.6253E-01
          1.629     9.4640E-01
          1.630     9.3433E-01
          1.631     9.1351E-01
          1.632     7.9942E-01
          1.633     6.6333E-01
          1.634     5.4257E-01
          1.635     4.3371E-01
          1.636     3.5187E-01
          1.637     2.7539E-01
          1.638     2.1385E-01
          1.639     1.6621E-01
          1.640     1.3272E-01
          1.641     1.0410E-01
          1.642     8.1245E-02
          1.643     6.4562E-02
          1.644     5.2085E-02
          1.645     4.1719E-02
          1.646     3.3362E-02
          1.647     2.7052E-02
          1.648     2.1968E-02
          1.649     1.7808E-02
          1.650     1.5102E-02
          1.651     1.2422E-02
          1.652     1.0431E-02
          1.653     8.6747E-03
          1.654     7.2813E-03
          1.655     6.2288E-03
          1.656     5.3442E-03
          1.657     4.3918E-03
          1.658     3.8373E-03
          1.659     3.3623E-03
          1.660     2.8942E-03
          1.661     2.4495E-03
          1.662     2.2648E-03
          1.663     1.8193E-03
          1.664     1.7124E-03
          1.665     1.4616E-03
          1.666     1.3490E-03
          1.667     1.1610E-03
          1.668     1.1003E-03
          1.669     9.6325E-04
          1.670     9.2745E-04
          1.671     7.0167E-04
          1.672     7.0400E-04
          1.673     7.6593E-04
          1.674     5.3093E-04
          1.675     5.1045E-04
          1.676     4.4983E-04
          1.677     4.2174E-04
          1.678     3.6327E-04
          1.679     3.8495E-04
          1.680     2.4564E-04
          1.681     2.6475E-04
          1.682     1.8090E-04
          1.683     1.5846E-04
          1.684     1.0683E-04
          1.685     1.1787E-04
          1.686     1.7511E-04
          1.687     9.5487E-05
          1.688     1.8048E-04
          1.689     8.2752E-05
          1.690     6.0587E-05
          1.691     6.9584E-05
          1.692    -1.6350E-05
          1.693     9.7689E-05
          1.694     5.8216E-05
          1.695     7.6030E-05
          1.696    -3.3937E-06
          1.697     4.3720E-05
          1.698     9.5485E-07
          1.699    -3.8679E-05
          1.700     3.7041E-05
          1.701     8.6576E-06
          1.702     5.3013E-06
          1.703    -2.8486E-05
          1.704    -4.1054E-05
          1.705     1.3911E-05
          1.706     2.5536E-05
          1.707     3.9628E-05
          1.708    -6.2843E-05
          1.709    -2.8923E-05
          1.710     5.1492E-06
          1.711    -4.8994E-05
          1.712    -2.5403E-05
          1.713    -3.0861E-05
          1.714     3.4637E-05
          1.715    -3.6241E-05
          1.716    -4.4501E-05
          1.717    -1.0561E-04
          1.718    -2.3399E-05
          1.719     3.5167E-05
          1.720    -9.6553E-06
          1.721    -5.0384E-05
          1.722    -1.0708E-05
          1.723    -1.2946E-05
          1.724    -2.2238E-05
          1.725     1.0595E-04
          1.726     5.8391E-05
          1.727    -8.9452E-05
          1.728    -7.3864E-05
          1.729     3.4367E-05
          1.730    -3.5267E-05
