 wavelength (um)       Norm. Spec. Resp. Func.
          2.980    -3.8277E-05
          2.987    -1.1330E-04
          2.994    -3.8310E-05
          3.001     8.2315E-05
          3.008    -3.8208E-05
          3.015    -7.8866E-05
          3.022     4.2519E-05
          3.029     1.9160E-05
          3.036     9.0342E-05
          3.043     3.8648E-05
          3.050     6.4001E-05
          3.057    -3.7608E-05
          3.064     2.2473E-05
          3.071    -1.1026E-05
          3.078     1.3440E-05
          3.085    -1.9499E-05
          3.092     1.1921E-04
          3.099    -3.9047E-05
          3.106     2.7656E-05
          3.113    -7.1410E-05
          3.120     5.9009E-06
          3.127    -1.4548E-05
          3.134    -5.3070E-05
          3.141     4.3976E-05
          3.148    -1.7268E-05
          3.155    -1.1061E-05
          3.162    -6.4886E-06
          3.169     1.6383E-05
          3.176     6.5187E-05
          3.183    -2.1931E-05
          3.190     7.3458E-05
          3.197    -1.0630E-04
          3.204    -9.1795E-05
          3.211    -6.8014E-06
          3.218    -6.1946E-05
          3.225     2.9894E-05
          3.232     1.5326E-04
          3.239    -1.9426E-05
          3.246     5.6003E-05
          3.253     6.4718E-05
          3.260     1.2070E-04
          3.267     1.9917E-04
          3.274     8.7302E-05
          3.281     8.4302E-05
          3.288     2.0646E-04
          3.295     1.7305E-04
          3.302     1.4565E-04
          3.309     1.5840E-04
          3.316     2.1956E-04
          3.323     3.0869E-04
          3.330     3.0329E-04
          3.337     4.6733E-04
          3.344     6.6282E-04
          3.351     7.0087E-04
          3.358     1.0772E-03
          3.365     1.3847E-03
          3.372     1.5657E-03
          3.379     2.2083E-03
          3.386     2.6728E-03
          3.393     3.5915E-03
          3.400     4.9090E-03
          3.407     6.3276E-03
          3.414     8.3827E-03
          3.421     1.0985E-02
          3.428     1.4494E-02
          3.435     1.9657E-02
          3.442     2.6142E-02
          3.449     3.5090E-02
          3.456     4.7412E-02
          3.463     6.2944E-02
          3.470     8.5319E-02
          3.477     1.1513E-01
          3.484     1.5457E-01
          3.491     2.0807E-01
          3.498     2.7295E-01
          3.505     3.5385E-01
          3.512     4.4847E-01
          3.519     5.3947E-01
          3.526     6.2736E-01
          3.533     6.9718E-01
          3.540     7.4727E-01
          3.547     7.7553E-01
          3.554     7.9645E-01
          3.561     8.0829E-01
          3.568     8.1501E-01
          3.575     8.1676E-01
          3.582     8.2693E-01
          3.589     8.3747E-01
          3.596     8.5072E-01
          3.603     8.6044E-01
          3.610     8.7217E-01
          3.617     8.9103E-01
          3.624     9.0073E-01
          3.631     9.0794E-01
          3.638     9.1700E-01
          3.645     9.2695E-01
          3.652     9.3387E-01
          3.659     9.3457E-01
          3.666     9.4846E-01
          3.673     9.4757E-01
          3.680     9.6147E-01
          3.687     9.6331E-01
          3.694     9.6908E-01
          3.701     9.8177E-01
          3.708     9.8194E-01
          3.715     9.8463E-01
          3.722     9.9346E-01
          3.729     9.8594E-01
          3.736     9.8635E-01
          3.743     9.8508E-01
          3.750     9.6953E-01
          3.757     9.6450E-01
          3.764     9.6190E-01
          3.771     9.5231E-01
          3.778     9.5163E-01
          3.785     9.3054E-01
          3.792     9.3994E-01
          3.799     9.3372E-01
          3.806     9.3762E-01
          3.813     9.4026E-01
          3.820     9.4648E-01
          3.827     9.4632E-01
          3.834     9.4915E-01
          3.841     9.5393E-01
          3.848     9.4934E-01
          3.855     9.4869E-01
          3.862     9.5072E-01
          3.869     9.5476E-01
          3.876     9.6214E-01
          3.883     9.8373E-01
          3.890     9.8824E-01
          3.897     1.0000E+00
          3.904     9.8519E-01
          3.911     9.4164E-01
          3.918     8.5262E-01
          3.925     7.2060E-01
          3.932     5.7339E-01
          3.939     4.3495E-01
          3.946     3.1611E-01
          3.953     2.2805E-01
          3.960     1.6460E-01
          3.967     1.1952E-01
          3.974     8.7809E-02
          3.981     6.5646E-02
          3.988     5.0041E-02
          3.995     3.8789E-02
          4.002     3.0714E-02
          4.009     2.4912E-02
          4.016     2.0149E-02
          4.023     1.6809E-02
          4.030     1.4102E-02
          4.037     1.2168E-02
          4.044     1.0587E-02
          4.051     9.1766E-03
          4.058     8.4622E-03
          4.065     7.4420E-03
          4.072     7.0500E-03
          4.079     6.6901E-03
          4.086     6.6018E-03
          4.093     6.6068E-03
          4.100     6.6661E-03
          4.107     6.7788E-03
          4.114     6.9230E-03
          4.121     7.0346E-03
          4.128     6.6719E-03
          4.135     5.9923E-03
          4.142     5.0870E-03
          4.149     4.1212E-03
          4.156     3.0231E-03
          4.163     2.2875E-03
          4.170     1.6653E-03
          4.177     1.0328E-03
          4.184     6.6411E-04
          4.191     5.3195E-04
          4.198     2.3375E-04
          4.205     4.9597E-05
          4.212     1.7711E-04
          4.219     3.2703E-04
          4.226     1.0914E-03
          4.233     3.7360E-04
          4.240    -1.6371E-05
          4.247    -9.2424E-04
          4.254    -7.1683E-05
          4.261     6.8283E-04
          4.268     3.8437E-04
          4.275    -5.4233E-04
          4.282    -8.6839E-06
          4.289    -6.8307E-04
          4.296     3.5706E-04
          4.303     4.4385E-04
          4.310     6.7564E-04
          4.317     1.4529E-04
          4.324     2.9438E-04
          4.331    -1.2038E-06
          4.338    -8.4205E-06
          4.345    -7.4914E-05
          4.352    -7.5158E-05
          4.359     1.2267E-05
          4.366    -7.6797E-05
          4.373     3.2823E-05
          4.380     2.7673E-05
          4.387    -4.8911E-05
          4.394     2.6198E-05
          4.401    -7.2939E-05
          4.408    -7.7657E-05
          4.415     2.9039E-05
          4.422    -9.1525E-05
          4.429     1.6664E-06
          4.436     2.4094E-05
          4.443     4.8698E-05
          4.450     3.2973E-05
          4.457    -5.2007E-05
          4.464    -3.2098E-05
          4.471    -2.3275E-05
          4.478    -3.0113E-05
          4.485     9.5493E-05
          4.492    -4.4243E-05
          4.499     4.7923E-05
