      Wavelegth (nm)      Normalized RSF
          540.000000            0.002000
          550.000000            0.003000
          560.000000            0.086600
          570.000000            0.481000
          580.000000            0.745000
          590.000000            0.821000
          600.000000            0.809800
          610.000000            0.858000
          620.000000            0.949000
          630.000000            0.995600
          640.000000            0.963000
          650.000000            0.949000
          660.000000            1.000000
          670.000000            0.992000
          680.000000            0.629000
          690.000000            0.273000
          700.000000            0.107000
          710.000000            0.053000
          720.000000            0.028000
          730.000000            0.018000
          740.000000            0.012000
          750.000000            0.008000
          760.000000            0.004200
          770.000000            0.001000
