Wavenumber (cm^-1)    Wavelength (um)        Normalized SRF
9330    1.07181136120043    0.0000000
9335    1.07123727905731    0.0000000
9340    1.07066381156317    0.0000000
9345    1.07009095773141    0.0000000
9350    1.06951871657754    0.0000000
9355    1.06894708711919    0.0000000
9360    1.06837606837607    0.0000000
9365    1.06780565936999    0.0000000
9370    1.06723585912487    0.0000000
9375    1.06666666666667    0.0000000
9380    1.06609808102345    0.0000000
9385    1.06553010122536    0.0000000
9390    1.06496272630458    0.0000000
9395    1.06439595529537    0.0000000
9400    1.06382978723404    0.0000000
9405    1.06326422115896    0.0000000
9410    1.06269925611052    0.0000000
9415    1.06213489113117    0.0000000
9420    1.06157112526539    0.0000000
9425    1.06100795755968    0.0000000
9430    1.06044538706257    0.0000000
9435    1.05988341282459    0.0000000
9440    1.05932203389831    0.0000000
9445    1.05876124933827    0.0000000
9450    1.05820105820106    0.0000000
9455    1.05764145954521    0.0000000
9460    1.05708245243129    0.0000000
9465    1.05652403592182    0.0000000
9470    1.05596620908131    0.0000000
9475    1.05540897097625    0.0000000
9480    1.05485232067511    0.0000000
9485    1.05429625724829    0.0000000
9490    1.05374077976818    0.0000000
9495    1.05318588730911    0.0000000
9500    1.05263157894737    0.0000000
9505    1.05207785376118    0.0000000
9510    1.0515247108307        0.0000000
9515    1.05097214923805    0.0000000
9520    1.05042016806723    0.0000000
9525    1.0498687664042        0.0000000
9530    1.04931794333683    0.0000000
9535    1.0487676979549        0.0000000
9540    1.0482180293501        0.0000000
9545    1.04766893661603    0.0000000
9550    1.04712041884817    0.0000000
9555    1.0465724751439        0.0000000
9560    1.04602510460251    0.0000000
9565    1.04547830632514    0.0000000
9570    1.04493207941484    0.0000029
9575    1.0443864229765        0.0000062
9580    1.04384133611691    0.0000095
9585    1.04329681794471    0.0000131
9590    1.04275286757039    0.0000171
9595    1.04220948410631    0.0000216
9600    1.04166666666667    0.0000271
9605    1.04112441436752    0.0000335
9610    1.04058272632674    0.0000413
9615    1.04004160166407    0.0000505
9620    1.03950103950104    0.0000615
9625    1.03896103896104    0.0000737
9630    1.03842159916926    0.0000869
9635    1.03788271925272    0.0001005
9640    1.03734439834025    0.0001141
9645    1.03680663556247    0.0001273
9650    1.03626943005181    0.0001396
9655    1.03573278094252    0.0001505
9660    1.0351966873706        0.0001604
9665    1.03466114847387    0.0001698
9670    1.03412616339193    0.0001796
9675    1.03359173126615    0.0001906
9680    1.03305785123967    0.0002036
9685    1.03252452245741    0.0002194
9690    1.03199174406605    0.0002388
9695    1.03145951521403    0.0002624
9700    1.03092783505155    0.0002902
9705    1.03039670273055    0.0003218
9710    1.02986611740474    0.0003571
9715    1.02933607822954    0.0003958
9720    1.02880658436214    0.0004378
9725    1.02827763496144    0.0004828
9730    1.02774922918808    0.0005306
9735    1.02722136620442    0.0005817
9740    1.02669404517454    0.0006369
9745    1.02616726526424    0.0006973
9750    1.02564102564103    0.0007637
9755    1.02511532547412    0.0008373
9760    1.02459016393443    0.000919
9765    1.02406554019457    0.00101
9770    1.02354145342886    0.0011114
9775    1.0230179028133        0.0012242
9780    1.02249488752556    0.0013497
9785    1.02197240674502    0.0014891
9790    1.02145045965271    0.0016436
9795    1.02092904543134    0.0018146
9800    1.02040816326531    0.0020036
9805    1.01988781234064    0.0022119
9810    1.01936799184506    0.0024415
9815    1.01884870096791    0.002695
9820    1.0183299389002        0.0029749
9825    1.01781170483461    0.0032842
9830    1.01729399796541    0.0036258
9835    1.01677681748856    0.0040028
9840    1.01626016260163    0.0044185
9845    1.01574403250381    0.0048764
9850    1.01522842639594    0.0053813
9855    1.01471334348047    0.0059395
9860    1.01419878296146    0.0065576
9865    1.0136847440446        0.0072425
9870    1.01317122593718    0.0080014
