Wavenumber(cm^-1)    Wavelength (um)        Normalized SRF
5785    1.7286084701815        0.0001645
5790    1.72711571675302    0.0001387
5795    1.72562553925798    0.0000000
5800    1.72413793103448    0.0000000
5805    1.72265288544358    0.0000000
5810    1.72117039586919    0.000381
5815    1.71969045571797    0.0002334
5820    1.71821305841924    0.0000000
5825    1.71673819742489    0.0002802
5830    1.71526586620926    0.0000000
5835    1.71379605826907    0.0002739
5840    1.71232876712329    0.0000000
5845    1.71086398631309    0.0000000
5850    1.70940170940171    0.0000702
5855    1.70794192997438    0.0000000
5860    1.70648464163823    0.0000093
5865    1.70502983802217    0.0000000
5870    1.70357751277683    0.0000000
5875    1.70212765957447    0.000303
5880    1.70068027210884    0.0000000
5885    1.69923534409516    0.0000000
5890    1.69779286926995    0.0000000
5895    1.69635284139101    0.0000000
5900    1.69491525423729    0.0005636
5905    1.69348010160881    0.0000205
5910    1.69204737732657    0.0000000
5915    1.69061707523246    0.0002493
5920    1.68918918918919    0.0000000
5925    1.68776371308017    0.0000000
5930    1.68634064080944    0.0000000
5935    1.6849199663016        0.0000415
5940    1.68350168350168    0.0000392
5945    1.68208578637511    0.0000000
5950    1.68067226890756    0.0000000
5955    1.67926112510495    0.0000748
5960    1.67785234899329    0.0000000
5965    1.67644593461861    0.0000000
5970    1.6750418760469        0.0004407
5975    1.67364016736402    0.0000000
5980    1.67224080267559    0.0000000
5985    1.67084377610693    0.0000000
5990    1.66944908180301    0.0000637
5995    1.66805671392827    0.0001564
6000    1.66666666666667    0.0000000
6005    1.66527893422148    0.0000000
6010    1.66389351081531    0.0000000
6015    1.66251039068994    0.0000000
6020    1.66112956810631    0.0001907
6025    1.6597510373444        0.0000000
6030    1.65837479270315    0.0000000
6035    1.65700082850041    0.0000000
6040    1.65562913907285    0.0004594
6045    1.65425971877585    0.000242
6050    1.65289256198347    0.0003904
6055    1.65152766308836    0.0005764
6060    1.65016501650165    0.0004828
6065    1.64880461665293    0.0008589
6070    1.64744645799012    0.0010565
6075    1.64609053497942    0.0022496
6080    1.64473684210526    0.0037677
6085    1.64338537387017    0.006059
6090    1.64203612479475    0.01008
6095    1.64068908941756    0.0158137
6100    1.63934426229508    0.0254999
6105    1.63800163800164    0.0427341
6110    1.6366612111293        0.0691962
6115    1.63532297628782    0.1199673
6120    1.63398692810458    0.2090369
6125    1.63265306122449    0.3324075
6130    1.63132137030995    0.5160754
6135    1.62999185004075    0.6745511
6140    1.62866449511401    0.7742839
6145    1.6273393002441        0.8021356
6150    1.6260162601626        0.7874916
6155    1.6246953696182        0.7620647
6160    1.62337662337662    0.7443393
6165    1.6220600162206        0.739574
6170    1.62074554294976    0.7551021
6175    1.61943319838057    0.7766541
6180    1.61812297734628    0.8222203
6185    1.61681487469685    0.8605534
6190    1.61550888529887    0.8998209
6195    1.61420500403551    0.9364454
6200    1.61290322580645    0.9580179
6205    1.6116035455278        0.9845919
6210    1.61030595813205    0.9923028
6215    1.60901045856798    0.9865934
6220    1.60771704180064    0.986638
6225    1.60642570281125    0.9863831
6230    1.60513643659711    0.996038
6235    1.60384923817161    0.992316
6240    1.6025641025641        0.9954393
6245    1.60128102481986    0.9989652
6250    1.60000000        1.00000
6255    1.59872102318145    0.9870769
6260    1.59744408945687    0.9820786
6265    1.59616919393456    0.9747957
6270    1.59489633173844    0.9558219
6275    1.59362549800797    0.9473739
6280    1.59235668789809    0.9350558
6285    1.59108989657916    0.9236463
6290    1.58982511923688    0.9077378
6295    1.58856235107228    0.8748186
6300    1.58730158730159    0.7989521
6305    1.58604282315623    0.6936592
6310    1.58478605388273    0.5337679
6315    1.58353127474268    0.3996814
6320    1.58227848101266    0.2707122
6325    1.58102766798419    0.1780814
6330    1.57977883096367    0.110786
6335    1.5785319652723        0.0722768
6340    1.57728706624606    0.0446578
6345    1.57604412923562    0.0291663
6350    1.5748031496063        0.0186755
6355    1.573564122738        0.0124763
6360    1.57232704402516    0.0075876
6365    1.57109190887667    0.0057528
6370    1.56985871271586    0.0035614
6375    1.56862745098039    0.0030037
6380    1.56739811912226    0.0015674
6385    1.56617071260767    0.0008712
6390    1.56494522691706    0.0008401
6395    1.56372165754496    0.0003559
6400    1.5625            0.000348
6405    1.56128024980484    0.0002581
6410    1.5600624024961        0.0000000
6415    1.55884645362432    0.0000000
6420    1.55763239875389    0.0000000
6425    1.55642023346304    0.0003271
6430    1.5552099533437        0.000172
6435    1.55400155400155    0.0000000
6440    1.5527950310559        0.0001136
6445    1.55159038013964    0.0000000
6450    1.55038759689923    0.0000177
6455    1.54918667699458    0.0001395
6460    1.54798761609907    0.0000000
6465    1.54679040989946    0.0000000
6470    1.54559505409583    0.0000000
6475    1.54440154440154    0.0001779
6480    1.54320987654321    0.0002192
6485    1.5420200462606        0.0000000
6490    1.54083204930663    0.0000375
6495    1.53964588144727    0.0000497
6500    1.53846153846154    0.0000000
6505    1.53727901614143    0.0000000
6510    1.53609831029186    0.0000000
6515    1.53491941673062    0.0000000
6520    1.53374233128834    0.0001059
6525    1.53256704980843    0.0000000
6530    1.53139356814701    0.0002773
6535    1.53022188217292    0.0000000
6540    1.52905198776758    0.0000211
6545    1.52788388082506    0.0000000
6550    1.52671755725191    0.0000000
6555    1.5255530129672        0.000122
6560    1.52439024390244    0.0000000
6565    1.52322924600152    0.0000000
