     Wavelength (um)      Normalized RSF
            2.980000            0.000100
            2.987000            0.000100
            2.994000            0.000000
            3.001000           -0.000100
            3.008000            0.000100
            3.015000            0.000100
            3.022000            0.000000
            3.029000            0.000000
            3.036000            0.002400
            3.043000            0.000100
            3.050000            0.000000
            3.057000            0.000100
            3.064000           -0.000100
            3.071000            0.000100
            3.078000            0.000100
            3.085000            0.000000
            3.092000            0.000000
            3.099000            0.000000
            3.106000            0.000000
            3.113000            0.000100
            3.120000           -0.000100
            3.127000           -0.000100
            3.134000            0.000100
            3.141000            0.000100
            3.148000            0.000100
            3.155000           -0.000100
            3.162000           -0.000100
            3.169000            0.000000
            3.176000            0.000100
            3.183000            0.000000
            3.190000           -0.000100
            3.197000           -0.000100
            3.204000            0.000000
            3.211000            0.000000
            3.218000           -0.000100
            3.225000            0.000000
            3.232000            0.000000
            3.239000           -0.000100
            3.246000            0.000000
            3.253000            0.000100
            3.260000            0.000100
            3.267000            0.000100
            3.274000            0.000000
            3.281000            0.000000
            3.288000            0.000000
            3.295000            0.000100
            3.302000            0.000100
            3.309000            0.000000
            3.316000            0.000000
            3.323000            0.000100
            3.330000            0.000000
            3.337000            0.000200
            3.344000            0.000000
            3.351000            0.000200
            3.358000            0.000100
            3.365000            0.000100
            3.372000            0.000200
            3.379000            0.000100
            3.386000            0.000300
            3.393000            0.000300
            3.400000            0.000500
            3.407000            0.000600
            3.414000            0.001000
            3.421000            0.001500
            3.428000            0.002100
            3.435000            0.003300
            3.442000            0.004600
            3.449000            0.006300
            3.456000            0.008300
            3.463000            0.010600
            3.470000            0.013400
            3.477000            0.016600
            3.484000            0.020900
            3.491000            0.026200
            3.498000            0.033300
            3.505000            0.043700
            3.512000            0.058500
            3.519000            0.080400
            3.526000            0.111200
            3.533000            0.153000
            3.540000            0.210800
            3.547000            0.286100
            3.554000            0.380900
            3.561000            0.488700
            3.568000            0.598900
            3.575000            0.700200
            3.582000            0.781900
            3.589000            0.842600
            3.596000            0.872600
            3.603000            0.893500
            3.610000            0.907400
            3.617000            0.913400
            3.624000            0.915200
            3.631000            0.917500
            3.638000            0.917600
            3.645000            0.922200
            3.652000            0.924800
            3.659000            0.929600
            3.666000            0.936600
            3.673000            0.942700
            3.680000            0.953500
            3.687000            0.963000
            3.694000            0.971400
            3.701000            0.979300
            3.708000            0.986800
            3.715000            0.990700
            3.722000            0.996600
            3.729000            0.995700
            3.736000            1.000000
            3.743000            0.998100
            3.750000            0.998000
            3.757000            0.995300
            3.764000            0.998000
            3.771000            0.998300
            3.778000            0.999300
            3.785000            0.999400
            3.792000            0.995800
            3.799000            0.995400
            3.806000            0.995400
            3.813000            0.988400
            3.820000            0.983100
            3.827000            0.971800
            3.834000            0.964200
            3.841000            0.958600
            3.848000            0.949900
            3.855000            0.948300
            3.862000            0.945600
            3.869000            0.951000
            3.876000            0.955100
            3.883000            0.967600
            3.890000            0.977500
            3.897000            0.988700
            3.904000            0.988200
            3.911000            0.973600
            3.918000            0.932400
            3.925000            0.862300
            3.932000            0.760900
            3.939000            0.631300
            3.946000            0.502000
            3.953000            0.378300
            3.960000            0.274400
            3.967000            0.193500
            3.974000            0.133900
            3.981000            0.092400
            3.988000            0.063800
            3.995000            0.044200
            4.002000            0.031200
            4.009000            0.022400
            4.016000            0.015800
            4.023000            0.011100
            4.030000            0.008100
            4.037000            0.005900
            4.044000            0.004300
            4.051000            0.003300
            4.058000            0.002400
            4.065000            0.001900
            4.072000            0.001400
            4.079000            0.001100
            4.086000            0.000800
            4.093000            0.000500
            4.100000            0.000400
            4.107000            0.000300
            4.114000            0.000200
            4.121000            0.000100
            4.128000            0.000100
            4.135000            0.000100
            4.142000            0.000000
            4.149000            0.000000
            4.156000            0.000000
            4.163000           -0.000100
            4.170000           -0.000100
            4.177000            0.000000
            4.184000            0.000100
            4.191000            0.000000
            4.198000           -0.000100
            4.205000           -0.000300
            4.212000           -0.000500
            4.219000           -0.002600
            4.226000           -0.001300
            4.233000            0.001200
            4.240000            0.000500
            4.247000            0.004600
            4.254000            0.000800
            4.261000           -0.000100
            4.268000            0.004700
            4.275000           -0.002300
            4.282000           -0.000100
            4.289000           -0.002300
            4.296000           -0.000900
            4.303000            0.002200
            4.310000           -0.000300
            4.317000           -0.000400
            4.324000           -0.000200
            4.331000           -0.000500
            4.338000            0.000100
            4.345000            0.000000
            4.352000            0.000200
            4.359000           -0.000200
            4.366000            0.000000
            4.373000           -0.000300
            4.380000           -0.000200
            4.387000            0.000200
            4.394000            0.000100
            4.401000           -0.000300
            4.408000            0.000100
            4.415000            0.000000
            4.422000           -0.000100
            4.429000           -0.000100
            4.436000            0.000100
            4.443000            0.000000
            4.450000           -0.000300
            4.457000            0.000000
            4.464000            0.000100
            4.471000           -0.000100
            4.478000           -0.000300
            4.485000           -0.000100
            4.492000            0.000200
            4.499000            0.000100
