     Wavelength (um)      Normalized RSF
            1.490000           -0.000100
            1.491000            0.000000
            1.492000            0.000000
            1.493000            0.000000
            1.494000            0.000100
            1.495000            0.000000
            1.496000           -0.000100
            1.497000           -0.000100
            1.498000            0.000000
            1.499000           -0.000100
            1.500000            0.000000
            1.501000            0.000000
            1.502000           -0.000100
            1.503000           -0.000100
            1.504000            0.000100
            1.505000           -0.000100
            1.506000            0.000000
            1.507000            0.000000
            1.508000            0.000000
            1.509000            0.000000
            1.510000            0.000000
            1.511000            0.000000
            1.512000           -0.000100
            1.513000            0.000000
            1.514000           -0.000100
            1.515000            0.000000
            1.516000           -0.000100
            1.517000           -0.000100
            1.518000            0.000000
            1.519000            0.000000
            1.520000            0.000000
            1.521000            0.000100
            1.522000           -0.000100
            1.523000            0.000000
            1.524000            0.000000
            1.525000            0.000100
            1.526000            0.000000
            1.527000            0.000000
            1.528000            0.000000
            1.529000            0.000100
            1.530000            0.000100
            1.531000            0.000000
            1.532000            0.000000
            1.533000            0.000000
            1.534000            0.000000
            1.535000            0.000000
            1.536000            0.000000
            1.537000            0.000000
            1.538000            0.000100
            1.539000            0.000000
            1.540000            0.000000
            1.541000            0.000100
            1.542000            0.000200
            1.543000            0.000100
            1.544000            0.000200
            1.545000            0.000200
            1.546000            0.000200
            1.547000            0.000300
            1.548000            0.000400
            1.549000            0.000500
            1.550000            0.000600
            1.551000            0.000800
            1.552000            0.001100
            1.553000            0.001300
            1.554000            0.001800
            1.555000            0.002200
            1.556000            0.002800
            1.557000            0.003500
            1.558000            0.004400
            1.559000            0.005500
            1.560000            0.006900
            1.561000            0.008600
            1.562000            0.011000
            1.563000            0.014100
            1.564000            0.017600
            1.565000            0.022300
            1.566000            0.028100
            1.567000            0.035500
            1.568000            0.047200
            1.569000            0.060000
            1.570000            0.076900
            1.571000            0.102300
            1.572000            0.131300
            1.573000            0.176300
            1.574000            0.225800
            1.575000            0.292700
            1.576000            0.384200
            1.577000            0.482300
            1.578000            0.624500
            1.579000            0.751300
            1.580000            0.830900
            1.581000            0.850400
            1.582000            0.869700
            1.583000            0.896300
            1.584000            0.903200
            1.585000            0.925500
            1.586000            0.928600
            1.587000            0.940000
            1.588000            0.944400
            1.589000            0.938100
            1.590000            0.949300
            1.591000            0.936400
            1.592000            0.946400
            1.593000            0.938000
            1.594000            0.942200
            1.595000            0.943700
            1.596000            0.936700
            1.597000            0.947500
            1.598000            0.934900
            1.599000            0.947900
            1.600000            0.940000
            1.601000            0.945300
            1.602000            0.951200
            1.603000            0.940000
            1.604000            0.954600
            1.605000            0.939600
            1.606000            0.950200
            1.607000            0.941500
            1.608000            0.945700
            1.609000            0.946200
            1.610000            0.937300
            1.611000            0.943500
            1.612000            0.931600
            1.613000            0.944300
            1.614000            0.926100
            1.615000            0.941300
            1.616000            0.930900
            1.617000            0.933600
            1.618000            0.934400
            1.619000            0.931200
            1.620000            0.940100
            1.621000            0.929800
            1.622000            0.943200
            1.623000            0.930500
            1.624000            1.000000
            1.625000            0.935600
            1.626000            0.933900
            1.627000            0.955600
            1.628000            0.921000
            1.629000            0.896900
            1.630000            0.873600
            1.631000            0.865000
            1.632000            0.829000
            1.633000            0.821600
            1.634000            0.782400
            1.635000            0.722300
            1.636000            0.588900
            1.637000            0.478000
            1.638000            0.374100
            1.639000            0.296600
            1.640000            0.239300
            1.641000            0.187600
            1.642000            0.149200
            1.643000            0.116600
            1.644000            0.096900
            1.645000            0.076400
            1.646000            0.062800
            1.647000            0.050000
            1.648000            0.041400
            1.649000            0.033800
            1.650000            0.028800
            1.651000            0.023800
            1.652000            0.019800
            1.653000            0.016700
            1.654000            0.013900
            1.655000            0.011900
            1.656000            0.010000
            1.657000            0.008600
            1.658000            0.007200
            1.659000            0.006300
            1.660000            0.005200
            1.661000            0.004800
            1.662000            0.004000
            1.663000            0.003500
            1.664000            0.003100
            1.665000            0.002700
            1.666000            0.002300
            1.667000            0.002000
            1.668000            0.001800
            1.669000            0.001600
            1.670000            0.001400
            1.671000            0.001300
            1.672000            0.001200
            1.673000            0.001100
            1.674000            0.001000
            1.675000            0.000900
            1.676000            0.000800
            1.677000            0.000800
            1.678000            0.000700
            1.679000            0.000700
            1.680000            0.000600
            1.681000            0.000500
            1.682000            0.000500
            1.683000            0.000500
            1.684000            0.000500
            1.685000            0.000400
            1.686000            0.000400
            1.687000            0.000300
            1.688000            0.000300
            1.689000            0.000300
            1.690000            0.000500
            1.691000            0.000300
            1.692000            0.000200
            1.693000            0.000200
            1.694000            0.000200
            1.695000            0.000300
            1.696000            0.000300
            1.697000            0.000200
            1.698000            0.000200
            1.699000            0.000200
            1.700000            0.000200
            1.701000            0.000000
            1.702000            0.000100
            1.703000            0.000200
            1.704000            0.000100
            1.705000            0.000100
            1.706000            0.000100
            1.707000            0.000100
            1.708000            0.000000
            1.709000            0.000100
            1.710000            0.000000
            1.711000            0.000000
            1.712000            0.000000
            1.713000           -0.000100
            1.714000            0.000000
            1.715000            0.000000
            1.716000            0.000000
            1.717000            0.000000
            1.718000            0.000000
            1.719000            0.000000
            1.720000            0.000000
            1.721000           -0.000100
            1.722000            0.000000
            1.723000            0.000000
            1.724000            0.000000
            1.725000           -0.000100
            1.726000            0.000000
            1.727000           -0.000100
            1.728000            0.000000
            1.729000            0.000000
            1.730000            0.000100
