   wavelengthum)  SRF
   0.430    -2.9943E-02
   0.432     9.2429E-03
   0.434     6.0742E-03
   0.436     2.7478E-03
   0.438     3.2893E-03
   0.440    -7.1737E-03
   0.442     5.9890E-03
   0.444    -7.5075E-03
   0.446    -1.0913E-02
   0.448     2.9692E-04
   0.450    -1.0079E-02
   0.452     3.0344E-03
   0.454    -8.8801E-04
   0.456     2.7729E-03
   0.458     5.1723E-03
   0.460    -1.7670E-03
   0.462     6.2540E-03
   0.464     3.9368E-03
   0.466    -3.3706E-03
   0.468    -4.4691E-03
   0.470    -4.2346E-03
   0.472     1.8317E-03
   0.474     6.5196E-04
   0.476    -1.1851E-03
   0.478     5.1779E-03
   0.480     4.3210E-03
   0.482    -1.2852E-03
   0.484     1.1640E-03
   0.486     7.7510E-04
   0.488     1.8405E-03
   0.490    -7.8470E-05
   0.492     1.1779E-03
   0.494     8.7176E-04
   0.496     2.5191E-04
   0.498    -4.6756E-04
   0.500     6.3085E-05
   0.502    -1.1229E-03
   0.504     2.8985E-04
   0.506     2.1955E-03
   0.508    -3.7142E-04
   0.510     2.9956E-04
   0.512    -4.4650E-04
   0.514     2.7264E-04
   0.516     2.9213E-04
   0.518     5.4828E-04
   0.520     1.1532E-04
   0.522     5.3993E-04
   0.524    -3.3914E-04
   0.526     4.1488E-04
   0.528     7.0550E-04
   0.530    -7.6043E-04
   0.532     7.4705E-04
   0.534    -7.3284E-04
   0.536     1.5574E-04
   0.538    -7.6428E-04
   0.540    -3.2720E-04
   0.542     8.3113E-05
   0.544    -1.4336E-03
   0.546     2.4389E-04
   0.548     4.1211E-04
   0.550    -5.8985E-04
   0.552    -1.1015E-03
   0.554    -6.2537E-04
   0.556    -2.4298E-04
   0.558    -5.1894E-04
   0.560     6.5793E-04
   0.562    -5.7906E-04
   0.564    -1.3792E-04
   0.566    -1.3750E-04
   0.568     5.4153E-04
   0.570    -7.2616E-05
   0.572    -1.4429E-04
   0.574     2.1713E-04
   0.576     1.4840E-03
   0.578     3.9810E-03
   0.580     1.3881E-02
   0.582     4.2846E-02
   0.584     1.2288E-01
   0.586     2.8621E-01
   0.588     4.5575E-01
   0.590     5.1453E-01
   0.592     5.1965E-01
   0.594     5.3681E-01
   0.596     5.7012E-01
   0.598     6.0850E-01
   0.600     6.4139E-01
   0.602     6.6934E-01
   0.604     6.8482E-01
   0.606     6.9256E-01
   0.608     7.0133E-01
   0.610     7.1354E-01
   0.612     7.2765E-01
   0.614     7.4481E-01
   0.616     7.6429E-01
   0.618     7.8278E-01
   0.620     8.0269E-01
   0.622     8.1636E-01
   0.624     8.2512E-01
   0.626     8.2641E-01
   0.628     8.2204E-01
   0.630     8.1813E-01
   0.632     8.1621E-01
   0.634     8.1921E-01
   0.636     8.3074E-01
   0.638     8.6522E-01
   0.640     8.7247E-01
   0.642     8.9990E-01
   0.644     9.3020E-01
   0.646     9.5450E-01
   0.648     9.7145E-01
   0.650     9.8451E-01
   0.652     9.9220E-01
   0.654     9.9734E-01
   0.656     1.0000E+00
   0.658     9.9658E-01
   0.660     9.8962E-01
   0.662     9.7593E-01
   0.664     9.5595E-01
   0.666     9.3995E-01
   0.668     9.3151E-01
   0.670     9.3820E-01
   0.672     9.5769E-01
   0.674     9.5948E-01
   0.676     8.7178E-01
   0.678     6.6531E-01
   0.680     4.2825E-01
   0.682     2.5001E-01
   0.684     1.3896E-01
   0.686     7.6362E-02
   0.688     4.1400E-02
   0.690     2.2800E-02
   0.692     1.2642E-02
   0.694     6.7116E-03
   0.696     4.0024E-03
   0.698     2.0872E-03
   0.700     1.0729E-03
   0.702     7.4570E-04
   0.704     6.7405E-05
   0.706     5.4160E-04
   0.708     1.3081E-04
   0.710     1.1105E-04
   0.712    -7.0116E-04
   0.714     4.9319E-04
   0.716     2.9259E-04
   0.718    -3.3320E-05
   0.720     4.7742E-04
   0.722     2.7332E-04
   0.724    -4.6719E-04
   0.726     1.3695E-04
   0.728     3.9248E-04
   0.730    -7.1954E-04
   0.732     3.3948E-04
   0.734    -1.8894E-05
   0.736    -6.4194E-05
   0.738     2.6601E-05
   0.740    -5.3629E-04
   0.742     7.5733E-06
   0.744    -6.6665E-04
   0.746    -4.3763E-06
   0.748    -4.7935E-04
   0.750    -2.6972E-05
   0.752     7.6734E-05
   0.754    -5.4855E-04
   0.756     1.7352E-04
   0.758     1.6267E-04
   0.760     1.2034E-04
   0.762     3.1201E-04
   0.764    -1.7706E-04
   0.766     3.4303E-04
   0.768     1.8588E-04
   0.770    -2.7590E-04
   0.772     1.1495E-04
   0.774    -4.3011E-07
   0.776     1.9273E-04
   0.778     5.3607E-05
   0.780    -4.5914E-04
   0.782     2.3406E-05
   0.784    -1.1351E-03
   0.786     4.3329E-04
   0.788     2.5103E-04
   0.790     1.1779E-03
   0.792     8.1592E-05
   0.794     7.8020E-04
   0.796    -2.5775E-04
   0.798    -2.7705E-04
   0.800     3.0293E-04
   0.802     1.2478E-04
   0.804    -6.1366E-04
   0.806     5.8777E-04
   0.808     1.4699E-04
   0.810    -1.0326E-03
   0.812     7.8381E-04
   0.814    -5.0694E-04
   0.816     3.2526E-04
   0.818    -9.5339E-04
   0.820     1.0490E-04
   0.822     3.7156E-04
   0.824     3.3002E-04
   0.826    -3.5976E-04
   0.828    -2.9196E-04
   0.830    -1.3384E-04
