     Wavelength (nm)      Normalized RSF
         3475.000000            0.001000
         3500.000000            0.015000
         3525.000000            0.100000
         3550.000000            0.355000
         3575.000000            0.651000
         3600.000000            0.807000
         3625.000000            0.895000
         3650.000000            0.913000
         3675.000000            0.960000
         3700.000000            1.000000
         3725.000000            0.968000
         3750.000000            0.926000
         3775.000000            0.902000
         3800.000000            0.906000
         3825.000000            0.895000
         3850.000000            0.869000
         3875.000000            0.845000
         3900.000000            0.789000
         3925.000000            0.713000
         3950.000000            0.473000
         3975.000000            0.197000
         4000.000000            0.068000
         4025.000000            0.019000
         4050.000000            0.009000
         4075.000000            0.000000
