      Wavelegth (um)      Normalized RSF
            3.450000            0.006600
            3.475000            0.045100
            3.500000            0.153100
            3.525000            0.496700
            3.550000            0.859300
            3.575000            0.963400
            3.600000            1.000000
            3.625000            0.996000
            3.650000            0.973800
            3.675000            0.999800
            3.700000            0.997100
            3.725000            0.998500
            3.750000            0.956700
            3.775000            0.956000
            3.800000            0.989000
            3.825000            0.998800
            3.850000            0.984300
            3.875000            0.969800
            3.900000            0.865900
            3.925000            0.571400
            3.950000            0.205700
            3.975000            0.053100
            4.000000            0.012500
            4.025000            0.004200
