      Wavelegth (nm)      Normalized RSF
        10300.000000            0.014000
        10400.000000            0.050000
        10500.000000            0.335000
        10600.000000            0.954000
        10640.000000            1.000000
        10700.000000            0.902000
        10760.000000            0.854000
        10800.000000            0.837000
        10900.000000            0.885000
        10940.000000            0.906000
        11000.000000            0.879000
        11100.000000            0.829000
        11200.000000            0.721000
        11300.000000            0.744000
        11400.000000            0.627000
        11500.000000            0.377000
        11600.000000            0.172000
        11700.000000            0.037000
        11800.000000            0.007600
        11900.000000            0.000000
        12000.000000            0.000000
