      Wavelegth (nm)      Normalized SRF
          400.000000            0.030000
          420.000000            0.021000
          440.000000            0.017000
          460.000000            0.017000
          480.000000            0.014000
          500.000000            0.125000
          520.000000            0.354000
          540.000000            0.440000
          560.000000            0.547000
          580.000000            0.627000
          600.000000            0.715000
          620.000000            0.787000
          640.000000            0.855000
          660.000000            0.889000
          680.000000            0.935000
          700.000000            0.992000
          700.000000            0.992000
          720.000000            0.955000
          740.000000            0.944000
          760.000000            0.985000
          780.000000            1.000000
          800.000000            0.918000
          820.000000            0.899000
          840.000000            0.914000
          860.000000            0.899000
          880.000000            0.921000
          900.000000            0.445000
          920.000000            0.114000
          940.000000            0.035000
          960.000000            0.015000
          980.000000            0.010000
