      Wavelegth (nm)      Normalized RSF
          600.000000            0.221000
          620.000000            0.081000
          640.000000            0.120000
          660.000000            0.079000
          680.000000            0.057000
          700.000000            0.194000
          720.000000            0.796000
          740.000000            0.959000
          760.000000            0.976000
          780.000000            0.990000
          800.000000            1.000000
          820.000000            0.916000
          840.000000            0.909000
          860.000000            0.930000
          880.000000            0.921000
          900.000000            0.926000
          920.000000            0.894000
          940.000000            0.911000
          940.000000            0.911000
          960.000000            0.817000
          980.000000            0.733000
         1000.000000            0.636000
         1020.000000            0.499000
         1040.000000            0.367000
         1060.000000            0.231000
         1080.000000            0.151000
         1100.000000            0.098000
         1120.000000            0.058000
         1140.000000            0.031000
         1160.000000            0.014000
         1180.000000            0.004000
         1200.000000            0.002000
